id,text,label
298,handsfree work fine car try download address book tree reboot overall rate device high,1
299,talk useless customer service,0
300,felt light tinny,0
301,do not fit palm tungsten e2 break time try plug in,0
302,be happy purchase good quality low price,1
303,love look feel samsung flip phone,1
304,well design sharp blue nice color,1
305,do everything more,1
306,not recommend more,0
307,nice sound,1
308,look good picture case huge disappointment,0
309,jawbone go replace with,0
310,setup go smoothly,1
311,extremely slow take forever do it,0
312,study interest worst sin industrial design,0
313,thing happen track off,0
314,well make easy access phone have handy detachable belt clip,1
315,have continue pair periodically keep drop,0
316,not unload intone party,0
317,bluetooth do not work phone lock up screen flash make call randomly pocket lock,0
318,truly awful,0
319,work fine motorola twenty five cellphone lot better wear out battery do,1
320,volume ringer real good you have choice loud one,1
321,none tone acceptable,0
322,camera color balance awful,0
323,product clearly not ready prime time do netware cool look not tell call come worthless,0
324,love intone upbeat,1
325,chinese forgery abound,0
326,easy pair samsung cell,1
327,instruction notexplain microphone jack be use,0
328,advise not purchase item never work well,0
329,bad have pay month service,0
330,work well,1
331,nokia ca 42 usb cable not work phone,0
332,clear crisp sound,1
333,have use smallest earpiece provide stay pretty well,1
334,biggest complaint have be battery drain superfast,0
335,design be ergonomic theory not stand have ear,0
336,do not buy want use holster,0
337,phone take great picture video clip,1
338,do normale look cool,0
339,ear occupy background not distract all,1
340,comfortable fit need headset be comfortable hour time not entire day,1
341,also phone do not seem accept cbr mp s preferably rip window medium player,0
342,not beat price these,1
343,come strong light use light camera shot flash so signal seriously,1
344,lightweight work well,1
345,beware,0
346,love cable allow connect mini usb device pc,1
347,near hear conversation,0
348,cool case open allow screen get scratch up one,1
349,buy phone replacement start have regret since,0
350,appear actually outperform original battery china come a325 i,1
351,not store phone number sim,0
352,last o minute actually try use phone my wife have phone problem,0
353,poor quality,0
354,cabra ear gel r best,1
355,not worth it,0
356,phone crash completely have get replace,0
357,quit work have use eighteen month purchase one best headset have own,1
358,unfortunately not recharge phone four s despite connect multiple power source mac external battery wall outlet etc,0
359,great phone,1
360,simply want small flip phone look extra bell whistle mediocre,0
361,good value work fine power usb car wall outlet,1
362,phone do notslide car grip prevent phone slip hand,1
363,simply best bluetooth headset sound quality,1
364,think plan one this sure moto phone me,0
365,span hour have two people exclaim whoa new phone tv,1
366,have use cord headset freedom wireless helpful,1
367,case have pas one year mark show sign wear 100 functional,1
368,that leather nice soft fit tight cut face good shape,1
369,have everything need task more,1
370,receive product two day break,0
371,product great make work lot easier go copier wait hold something,1
372,none size send headset stay ear,0
373,t mobile have best customer service anywhere,1
374,arrive quickly expensive be sell,1
375,have try two unit fail two month pro,0
376,provide good protection look classy too,1
377,russel good,1
378,tracfonewebsite user friendly make easy activate etc,1
379,design good 4,1
380,great reception time,1
381,highly recommend product,1
382,house unit sunglass not good texas,0
383,dit not work time nokia 5320,0
384,buy mainly charger break soon purchase,0
385,like loud buzz override conversation phone you,1
386,fantastic buy get again phone,1
387,stay away store be careful,0
388,blunt supertooth hand free phone speaker awesome,1
389,item arrive quickly work great phone sound ear plug,1
390,light have plenty battery capacity comfortable wear somewhat extend period time,1
391,disappoint,0
392,blue ant easy use,1
393,cheap hey work,1
394,pleasantly suprised give low cost item,1
395,camera phone be use dustpan indoors have be disposable this,0
396,day later puff smoke come phone use,0
397,convenient simple use get job make car ride smoother,1
398,nano state it my son disappoint,0
399,sound quality excellent well,1
400,best headset have use,1
401,not recommend,0
402,have be year carry highest quality anti glare screen protector have find date,1
403,want,1
404,particular model not work motorola q smartphone,0
405,wont work right at least me,0
406,addition feel amp look phone lightweight cheap plastic,0
407,out warranty problem reoccure bottom line money else singular not support it,0
408,want plantronics five ten be right one have issue me the good,0
409,crisp clear,1
410,charge keep go dead minute,0
411,cheap plastic creak like old wooden floor,0
412,get absolutely horrible reception apartment phone have not have problem,0
413,reception have be generally good,1
414,excellent sound battery life inconspicuous boot,1
415,great bluetooth,1
416,highly recommend case,1
417,worthwhile,1
418,phone get be year old be slowly break despite care part,0
419,be sorry make purchase,0
420,buy hop make bluetooth headset fit better thing make impossible wear,0
421,tree t mobile refuse replace again force buy phone kind upgrade discount,0
422,horrible,0
423,allow possibility double book date time first,0
424,work two week break,0
425,do not think hold securely belt,0
426,simple use like it,1
427,great tool entertainment communication data management oh be sure use activesync 4 2 optimal data synchronization result,1
428,not use case smell disgust,0
429,not want,0
430,two case order another,1
431,buy battery coupon amazon be happy purchase,1
432,internet access fine rare instance work,0
433,perfect p,1
434,five star plus plus,1
435,good quality bargain buy buy cheap big lot sound awful people end other me,1
436,50 drain,0
437,try talk real loud shout telephone get old tell notgreat,0
438,good work fine,1
439,price great deal,1
440,great price too,1
441,wind completely useless,0
442,yes shiny love it,1
443,do not work,0
444,think get good deal 7 44 plug phone v see razor,0
445,reception headset excellent,1
446,two thumb seller,1
447,have version lg phone work well together good reception range exceed twenty foot line sight,1
448,improper description have return it,0
449,1 work 2 comfortable,1
450,battery charge life long,1
451,cabra largely fit ear well,1
452,battery have no life,1
453,check no feature disappoint,0
454,product exactly describe,1
455,get signal version phone wo not,1
456,do not job,0
457,recommend it,1
458,plan order again again,1
459,be say phone camera nice cool effect play with video decent well,1
460,have be satisfy cell phone day one,1
461,keep get better better this one have have numerous palm too,1
462,awkward use unreliable,0
463,ship time quick,0
464,not good have hop,0
465,good case,1
466,do network,0
467,good product,1
468,unfortunately not work,0
469,break two month use,0
470,dont buy it,0
471,father have 1265 battery die,0
472,however ear pad come easily one week lose one,0
473,call drop phone come will screen go black worst stop ring intermittently,0
474,horrible horrible protector,0
475,do notice nokia either,0
476,reach row uncomfortable,0
477,have buy nokia cell phone week ago nightmare,0
478,take long describe bad customer service experience have be amazon,0
479,disappoint thing no speakerphone,0
480,terrible car not accept cassette,0
481,product useless do not have charge current charge two cellphone,0
482,not say be,0
483,stay away q,0
484,use dirty,0
485,unreliable service t mobile,0
486,not good price,0
487,buy two charge,0
488,look nice,1
489,excellent tool especially pair phone auto answer,1
490,have read review have note problem it,1
491,product cover important light sensor ear outlet,0
492,comfortable hand,1
493,do not work,0
494,poor reliability,0
495,work,1
496,take picture battery drop bar start beep let know din,0
497,terrible product waste money,0
498,time buy you,0
499,waste money,0
500,far have work like charm,1
501,have have week far good,1
502,but case best be download picture laptop ir send picture laptop phone,1
503,recommend item,1
504,be choice headset year great sound good volume good noise cancellation,1
505,nice case feel good hand,1
506,item receive counterfeit,0
507,good far probably best bt headset have have,1
508,work fine,1
509,receive headset good time happy it,1
510,please see replace well trail swivel holster blackberry flip,1
511,sister have one love it,1
512,good quality,1
513,far worst purchase have make amazon,0
514,excellent dual purpose headset,1
515,excellent,1
516,do not work listen music singular 8125,0
517,seem completely secure hold belt keep phone inside,1
518,bottom line another worthless cheap gimmick sprint,0
519,have trouble volume,0
520,good thing fit comfortably small ear,1
521,warn do not buy,0
522,be pair phone not be happier far,0
523,open battery connection break device turn off,0
524,not want clip go ear cause discomfort,0
525,best headset ever,1
526,do not trust webster do not expect helpful support,0
527,loud glad say plantronics five ten maintain flawless connection cell no static normal use,1
528,speaker low quality make ring tone sound cheap,0
529,fit comfortably come size earn tip,1
530,bad reception,0
531,product high quality chinese crap,0
532,comfortable ear,1
533,do notably product fail,0
534,everything product wrong first,0
535,pair two device easy barely take couple minute start make call voice deal feature,1
536,utterly confuse first cause lose couple very important contact,0
537,terrible phone holder,0
538,cutout button place perfectly,1
539,love be able use one headset land line cell,1
540,problem ear loop make weak material break easily,0
541,not nearly good look amazon picture make look,0
542,despite flaw case exceptional quality well worth additional cost own official oem product,1
543,stupid that,0
544,hear be drive car usually do steven have loudest set,1
545,seller ship quickly cheaper competitor,1
546,good show samsung,1
547,buy ten save a lot money,1
548,cut make beep beep beep sound say signal fail,0
549,configure,0
550,phone sound ok not great ok wife phone totally unintelligible not understand word be say it,0
551,have take battery phone back restart it,0
552,manage bend leaf spring back place metal have stress break drop,0
553,leopard print wonderfully wild,1
554,work me,1
555,saggy floppy piece junk,0
556,better hard plastic case,1
557,have new problem,0
558,happy far,1
559,cool phone,1
560,work good,1
561,motorola finally get voice quality bluetooth headset right,1
562,loose connection phone couple foot two,0
563,great recommend,1
564,make easier keep bluetooth be not wear it,0
565,say above pretty useless,0
566,never get it,0
567,pair headphone worst have have sound wise,0
568,drain weak snap,0
569,do not charge singular att eight thousand five twenty five phone,0
570,get extra minute carry call not get cut off,1
571,however year lipton start get loose wobbly eventually screen go black not receive place call,0
572,keep catch cable seat have pull phone turn off,0
573,headset fulfil requirement be happy purchase,1
574,logitech bluetooth headset 10,1
575,like fact rest lightly ear inside,1
576,lot webster have be rat good phone do i,1
577,have try cable computer pod work fine,1
578,mic joke volume low,0
579,be return them,0
580,do not maintain connection computer lap,0
581,easy turn car volume control accessible,1
582,have have year christmas buy rest family,1
583,otherwise easy install use clear sound,1
584,nice leather,1
585,have purchase different case,0
586,joy use,1
587,disappoint company,0
588,satisfy that,1
589,not charge me,0
590,phone get 2005 buy s740 say wow,1
591,button small,0
592,read spec make say wow,1
593,love it great armband,1
594,like product motorola allot clearer ear piece mic,1
595,however keypad tinny reach wrong button,0
596,exchange sony ericson z five be pretty happy decision,1
597,impress price case,1
598,make easier hold to,1
599,use product motor control center lot high voltage hum equipment work great,1
600,pretty easy,1
601,make call certain place,0
602,however girl complain time phone do netware like normal phone do,0
603,beautiful style though,1
604,company charge restock fee not give refund back,0
605,be try return refund,0
606,plug find not darn thing work,0
607,excellent product,1
608,earn piece break easily,0
609,lousy product,0
610,phone try hard do everything fail ability be phone,0
611,best charger have see market yet,1
612,sweetest phone,1
613,oh charger seem work fine,1
614,fit securely ear hook do not need be use sound better direct ear canal,1
615,not volume,0
616,echo problem very unsatisfactory,0
617,take two video time quality poor,0
618,do notwaste money,0
619,be go have be negatively review product,0
620,adapter do not provide charge current,0
621,hype phone assume best mistake,0
622,take picture case sense cover,0
623,phone fall easily,0
624,network people not hear talk,0
625,text message feature tricky use,0
626,be disappoint have charger do network,0
627,painful ear,0
628,last one day blow up,0
629,disappoint,0
630,kind flop around,0
631,screen do get smudge easily touch ear face,0
632,piece junk lose call phone,0
633,item do not match picture,0
634,thing disappoint infra red port ira,0
635,not answer call unit never work once,0
636,unsatisfactory,0
637,product great,1
638,have this,1
639,have be work good no problem,1
640,oh dangerous,0
641,sorry,0
642,be sorry,0
643,pardon,0
644,help help,0
645,no no dangerous,0
646,extremely dangerous,0
647,dangerous,0
648,dangerous young man,0
649,dangerous brutal,0
650,honestly dangerous,0
651,work,0
652,dead hard work,0
653,fact family mary wed,1
654,have be busy,1
655,go back again,1
656,be be busy,0
657,think yesterday,0
658,do think get one,1
659,oh yes,1
660,one thing want talk,1
661,well honestly do notknow have noreen discussion,1
662,course be come tomorrow,1
663,have noreen think away weekend,0
664,hello,1
665,mean young man,1
666,goodbye,1
667,alright,1
668,do need money urgently,1
669,business,1
670,work day,1
671,work,1
672,do work,1
673,be work day,1
674,work saturday,1
675,know work,1
676,horrible customer service,0
677,fine product,1
678,glad pay money it,1
679,worst version adobe illustrator be release version nine,0
680,not save mysterious reason,0
681,crash,0
682,open file have be year write scribble untenable save version,0
683,assume adobe customer service be professional quick,1
684,have call time past two week have have wait minimum twenty three minute speak someone,0
685,finally get product send mac version personal computer version purchase,0
686,call again wait approximately thirty minute get customer help,0
687,have not receive personal computer version,0
688,call center service worst customer service have deal,0
689,have deal bad customer service,0
690,six extremely frustrate hour,0
691,do not have problem software,1
692,reverse error be nightmare,0
693,pretty do need,1
694,point customer service rep nice,1
695,do not have infrastructure provide basic level service,0
696,customer support system payroll upgrade product scary,0
697,do not send receipt,0
698,receipt get copy invoice not format print correctly,0
699,disturb people suppose be account expert,0
700,start look alternative intuit obviously do not understand basic account audit principle,0
701,thoroughly disappoint,0
702,be not do business company anymore give bad support,0
703,online information exactly have cd,1
704,have not send coupon,0
705,bad,0
706,save money do not subscribe extend service,0
707,use customer service technical support give answer vaguely relate problem,0
708,be emailinc time get nowhere,0
709,largest technical software company world,1
710,have no technical support,0
711,worthless product horrible customer service,0
712,unable access internet,0
713,no problem system become slow,0
714,customer service phone number not user guide bury webster,0
715,reputation become exasperate script suggestion not resolve problem,0
716,feel bite fleece overprice subscription renewal year,0
717,decide give try,1
718,installation go smoothly everything seem fine,1
719,stall blank screen right window,0
720,hang forever,0
721,well present,1
722,easy follow along easy revisit previous lesson,1
723,video illustrate fretboard help see hear song be play,1
724,not lot depth material,0
725,sing be slight destruction sometimes,0
726,material song not be everyone like,0
727,have find music book useful,1
728,probably not recommend be source learn guitar,0
729,like new look,1
730,i be have problem make transition,0
731,look create doom half life 2 not recommend program,0
732,want make advance fps game simple pong game recommend dark basic,1
733,dark basic professional probably capable create kind game come with,1
734,have deal bad customer service,0
735,dark basic make manipulate d data extremely easy,1
736,have program yourself scratch,0
737,recommend,1
738,software easy install easy use,1
739,wonderful software,1
740,buy cd,1
741,do not waste money subscription merriam webster webster,0
742,software user friendly,1
743,superb,1
744,try medical dictionary,1
745,surprise find offer option strip code,1
746,compare old earlier version offer major improvement,1
747,evolution,1
748,do offer major improvement flexibility previous version,1
749,good,1
750,simple easy use user friendly accurate pronunciation,1
751,horribly bad,0
752,good be able tweak dozen standard compliance,1
753,default thing not set up do take learn,0
754,move p100 fairly advance feature,1
755,anyhow have call para professional version,1
756,have way flexibility functionality version,1
757,go bye bye,0
758,be please product,1
759,have trial version instal computer buy it,1
760,have do enter code box,1
761,easy,1
762,be glad able install one computer,1
763,today best office suite microsoft have own,1
764,easy use excellent result,1
765,great sw,1
766,easy learn,1
767,have good graphic,1
768,help visualize space,1
769,see d,1
770,have configure do,0
771,difficult change room be house overall style start give design,0
772,recently buy version,1
773,instal software,1
774,everything operate well old personal computer,1
775,run lot faster,1
776,access corporate entrant,1
777,awesome,1
778,give whirl,1
779,have buy product again,1
780,five star them,1
781,great company deal,1
782,agree window improve thier product,0
783,linx not user friendly,0
784,compatibility issue kill unix linx,0
785,unix far stable,1
786,have access cd version,1
787,like,1
788,work well me,1
789,usually go disc want attempt,1
790,lot cd,1
791,great program child learn difference,1
792,fun excellent way learn math,1
793,child love do too,1
794,fun way keep brain work,1
795,marvelous,1
796,memory improvement software marvelous,1
797,help improve memory provide motivate game,1
798,highly recommend,1
799,great,1
800,love software,1
801,word new disturb get high score,0
802,have be symantec customer year,1
803,year product get better better,1
804,not use product purpose,1
805,anti virus find problem personal computer fix you,1
806,anti virus clean unneeded file,1
807,roll back system certain date problem occur,0
808,good program beginner experience family historian,1
809,program joy use,1
810,design make thing simple user,1
811,program easy use interface,1
812,no problem far better feature,1
813,definately worth it,1
814,problem have bigger harddrive do take lot space,0
815,system crash,0
816,great product,1
817,software update source issue,0
818,minor problem well,0
819,actually totally unusable resolution,0
820,complete waste money,0
821,major issue photo image have poor,0
822,no number tech support,0
823,have have issue month have not be transfer tech support person,0
824,call phone tell support person call you never happen,0
825,offer email support do nitrite back,0
826,look great,1
827,have be patient software,0
828,not provide support installation,0
829,software update source issue,0
830,easy language sixteen useful,1
831,find be helpful be get rusty,1
832,problem hard make,0
833,sound not clear,0
834,record speaker do not bother slow give chance understand repeat be say,0
835,like listen actual french speaker,1
836,bad actually want learn pronounce be say,0
837,totally useless do not know basic french grammar,0
838,try use product learn become nightmare,0
839,do have version word phrase make easier sound out,1
840,unfortunately basic japanese grammar japanese alphabet write japanese,0
841,not click have sound you,0
842,have no clue sound out,0
843,click sound,1
844,teach nothing read language,0
845,have be familiar japanese order use product,0
846,experience product say get quickly,1
847,product useful,1
848,probably have stop,0
849,want learn language look book cassette cd,1
850,give no star,0
851,waste,0
852,interface underwhelming,0
853,need guess,0
854,worse,0
855,no menu bar help take guess work program,0
856,have language backwards,0
857,suppose read right leave the opposite cd have leave right,0
858,poor effort,0
859,not find it,0
860,absolutely nothing installation cd,0
861,consider bad start,0
862,be soo disappoint,0
863,be disappoint false advertise product,0
864,say blurb use sixteen language source language not possible,0
865,language suppose be cd,0
866,instal it unable find cd,0
867,have be complete waste money,0
868,give star,1
869,choose language source,0
870,resell information learn limit computer knowledge,0
871,information net free,1
872,product exist one purpose steal,0
873,pathetic thief steal customer charge credit card eighty buck month permission,0
874,give one star,0
875,find extremely confuse,0
876,avoid,0
877,use energy talent make good product,1
878,worst company have felt entire life,0
879,guy work be ashamed,0
880,embarrassment company family,0
881,mugger steal face face,0
882,older no smarter,0
883,actually kind wish have one,1
884,do not know problem software,0
885,not think product easy use,0
886,regularly use number vary program visit logic audio miss office,1
887,im frustrate lack intuition steep learn curve software offer,0
888,unfortunately ten hour use manual read note program,0
889,be extremely carefully youse never use before,0
890,have difficulty demonstrate complex concept,0
891,advice this do notably it,1
892,be breeze well verse use,1
893,extremely difficult program grasp,0
894,have fork hard earn dollar it,0
895,be disappoint,0
896,glad pay money it,1
897,worst version be release,0
898,crash,0
899,not save mysterious reason,0
900,have have problem format document,0
901,simply fail recognize,0
902,have no problem,1
903,free software easier use,0
904,program secure,1
905,recommend product hand best one,1
906,good one,1
907,find not best software package world,0
908,cheap,1
909,note do right,0
910,gps system have redeem quality,1
911,navigation poor,0
912,use 1 00 mile trip,1
913,system repeat annoy problem,0
914,off route poor map,0
915,direct tithe wrong direction,0
916,look trustworthy guide unfamiliar area nott,0
917,product plain bad,0
918,summary product highly unusable,0
919,be tire on,0
920,not worth time money,0
921,come on,1
922,map database strike nerve me,0
923,have map error,0
924,take one day find mountain problem,0
925,tell turn wrong direction road,0
926,be send back refund,0
927,one confuse frustrate,0
928,do steven know old road,0
929,reason stuff significantly discount,0
930,definitely one worst product have buy,0
931,interface horrific unusable,0
932,horrible quality premium price,0
933,have wait longer,0
934,have be improvement better look better comment,1
935,better functionality,1
936,basic function way worse,0
937,word document easy convert pdf,1
938,license issue,0
939,installation nightmare,0
940,system hang,0
941,endless error automatic update feature,0
942,new product activation make pain,0
943,clash standard security software,0
944,product disappointment,0
945,company embarrass mess,0
946,software not do expect,0
947,somewhat disappoint,0
948,discover not convert male four p music file mp file,0
949,not work computer,0
950,request help not get result,0
951,want return item get credit,0
952,work well,1
953,current model not process program available,0
954,delete package,0
955,work faster processor,1
956,feature look pretty cool,1
957,not give favorable rat time,0
958,do not waste money,0
959,have be worth money,1
960,do not spend money get product,0
961,theme nice,1
962,far price,0
963,game gimmick,0
964,bore,0
965,hard figure use music converter photo stuff,0
966,not worth money,0
967,unfortunately disk get give error message,0
968,one hour hold time i get tech support,0
969,get error message,0
970,run computer not tv,0
971,need buy additional do burn software,0
972,dad run do player,1
973,ask money back,0
974,il on refuse le reimbursement,0
975,one live without,1
976,think be great product have,0
977,have good item,1
978,theme screen saver mediocre,0
979,like analog convertor much,1
980,program convert input digital format,1
981,do not convert mp format,0
982,song record slowly,0
983,definitely one worst product have bough,0
984,destroy system have format drive,0
985,warn,0
986,everything great,1
