,text,label
68,wish return unit get back money,ISSUE
69,awesome device work great,NOTISSUE
70,use talk one one 1 2 hour battery be literally drain die,ISSUE
71,do not find bad unit come one arpad not recommend anyone,NOTISSUE
72,displease,ISSUE
73,have get defect not risk buy of build quality alone,NOTISSUE
74,make case small be difficult install,ISSUE
75,restore phone like new performance,NOTISSUE
76,recommend purchase cabra x 10 series two work flawlessly moto q go figure,NOTISSUE
77,search internet find one be best value,NOTISSUE
78,do not fit,ISSUE
79,happy product,NOTISSUE
80,screen size be big key pad light well enough camera quality be excellent camera phone,NOTISSUE
81,be really nothing bad can say headset,NOTISSUE
82,glad find product amazon be hard find be not high price,NOTISSUE
83,portable work,NOTISSUE
84,colleague now get great reception little expensive performance be great,NOTISSUE
85,even fully charge go bed turn blue tooth wi fi notice have 20 leave morning,ISSUE
86,have also have problem phone read memory card always turn,ISSUE
87,not good wear hat sunglass,ISSUE
88,timely shipment quality product,NOTISSUE
89,nice solid keyboard,NOTISSUE
90,well make fit surefire x2 perfectly,NOTISSUE
91,horrible phone,ISSUE
92,bt battery junk,ISSUE
93,recommend others,NOTISSUE
94,cant get software work computer,ISSUE
95,disappoint,ISSUE
96,poor voice clarity,ISSUE
97,battery work great,NOTISSUE
98,no buyer remorse one,NOTISSUE
99,disappoint accessoryone,ISSUE
100,find inexcusable probably be return phone perhaps change carrier,ISSUE
101,look great be strong,NOTISSUE
102,have have mobile service two three year now pretty happy,NOTISSUE
103,update procedure be difficult cumbersome,NOTISSUE
104,disappointment hate anything go ear,ISSUE
105,great software motorola,NOTISSUE
106,delivery be time,NOTISSUE
107,easy use,NOTISSUE
108,uncomfortable ear do house lg 99900 env,ISSUE
109,volume switch rocket of unit destination unknown,ISSUE
110,hold charge long time be reasonably comfortable long wear condition quality of sound be tremendous,NOTISSUE
111,like return,ISSUE
112,keyboard be really worthwhile usefulness be sturdy enough do notexpect problem,NOTISSUE
113,version bill however be difficult understand even though price plan be simple,ISSUE
114,charge overnight battery work great,NOTISSUE
115,wo notregret,NOTISSUE
116,love phone,NOTISSUE
117,disappointment,ISSUE
118,not user friendly,ISSUE
119,unfortunately ability actually know be receive call be rather important feature phone be pitiful respect,ISSUE
120,exchange same phone even have same problem,ISSUE
121,result phone be either stick max volume mute,ISSUE
122,public display of affection rock,NOTISSUE
123,be super charge use small hybrid palmtop camera cellphone excel role,NOTISSUE
124,definitely recommend cabra tk50 v be look comfort clarity great price,NOTISSUE
125,have version two year ago really like service,NOTISSUE
126,pretty piece of junk,ISSUE
127,plug be wrong size,ISSUE
128,work describe,NOTISSUE
129,save money have have item 11 month now,ISSUE
130,bad purchase,ISSUE
131,well im satisfy,NOTISSUE
132,bose noise cancel be amaze be important nec commuter,NOTISSUE
133,battery be excellent bargain,NOTISSUE
134,defective crap,ISSUE
135,have give no star be able,ISSUE
136,wear glass fit fine,NOTISSUE
137,sound quality device be unacceptable unless be really quiet area almost hear nothing,ISSUE
138,not recommend item anyone,NOTISSUE
139,holster arrive do not match photo ad,ISSUE
140,great no problem,NOTISSUE
141,earlier review note plug charger nothing happen,ISSUE
142,frog phone charm be adorable eye catch,NOTISSUE
143,never know push hard enough right number of time function want not,ISSUE
144,sound be clear people talk be amaze quality,NOTISSUE
145,get aluminum case new palm v work really well have protect handheld perfectly far,NOTISSUE
146,good product well make,NOTISSUE
147,mobile phone tool be have,NOTISSUE
148,impress job motorola do steadiness of phone,NOTISSUE
149,receive order well within ship timeframe everything be good work order overall excite have source,NOTISSUE
150,phone be sturdy waterproof,NOTISSUE
151,not impress not recommend item anyone,ISSUE
152,complaint be standard sound volume be little low even turn 5 of 5,ISSUE
153,thank amazon have thing good price,NOTISSUE
154,end slide edge of pant back pocket instead,NOTISSUE
155,have go store buy new nokia phone be work great,NOTISSUE
156,work great,NOTISSUE
157,really ugly,ISSUE
158,horrible have switch three time,ISSUE
159,noise shield be incredible,NOTISSUE
160,no real improvement,ISSUE
161,razor battery good buy,NOTISSUE
162,keep good work amazon,NOTISSUE
163,refuse refund replace,ISSUE
164,unfortunately be easy accidentally activate gentle touch button accidentally touch phone face listen,ISSUE
165,basically throw money window nothing,ISSUE
166,great case price,NOTISSUE
167,take be one drop six inch kitchen counter be crack not impress not laugh,ISSUE
168,bluetooth range be good few day ago leave phone trunk get call carry conversation without hitch,NOTISSUE
169,small sleek impressive look practical setup ample storage place,NOTISSUE
170,largely channel sound directly ear seem increase sound volume clarity,NOTISSUE
171,none of new one have ever quite work properly,ISSUE
172,glad purchase,NOTISSUE
173,have miss numerous call of reason,ISSUE
174,perhaps phone be defective people cannon hear use,ISSUE
175,do notably product,ISSUE
176,suck of stuff do not work phone,ISSUE
177,no shift no bubble no peel not even scratch nothing note happier new one droid,NOTISSUE
178,worst software ever use give zero star,ISSUE
179,try make call be exercise frustration,ISSUE
180,case be flimsy piece of plastic have no front side protection whatsoever,ISSUE
181,cabra barset be happy sound quality especially outgo be better,NOTISSUE
182,love camera be really pretty good quality,NOTISSUE
183,thank great service,NOTISSUE
184,total package,NOTISSUE
185,seller be understand patient definitely buy,NOTISSUE
186,give firefly one star contact singular inform of practice,ISSUE
187,be aggravate,ISSUE
188,great product price,NOTISSUE
189,have purchase family friend enjoy clarity ease of use,NOTISSUE
190,virgin wireless rock do cheap little phone,NOTISSUE
191,none of work,ISSUE
192,do notably,ISSUE
193,muddy low quality sound case around wire insert be poorly super glue slide,ISSUE
194,please dont waste money,NOTISSUE
195,quite satisfy purchase,NOTISSUE
196,be look good quality headset keep look be nott,ISSUE
197,yet plantronincs continue use same flaw charger design,ISSUE
198,be notte best one,ISSUE
199,best one,NOTISSUE
200,disappoint result,ISSUE
201,cumbersome design,ISSUE
202,great be new package nice work good,NOTISSUE
203,no problem come le time expect,NOTISSUE
204,great product,NOTISSUE
205,be piece of crap,ISSUE
206,experience be terrible,ISSUE
207,be fourth bluetooth headset,ISSUE
208,be much comfortable last one,NOTISSUE
209,hat,ISSUE
210,fix problem,NOTISSUE
211,worst ever,ISSUE
212,happy,NOTISSUE
213,have have no trouble access internet download intone perform of function,NOTISSUE
214,can barely ever hear constantly say,ISSUE
215,battery life be highly unacceptable,ISSUE
216,company be joke,ISSUE
217,do everything description say,NOTISSUE
218,due happen every call be force stop use headset,ISSUE
219,work great car charger especially cannon plug two adapter same time,NOTISSUE
220,version tech support walk few procedure none of work end have do hard set wipe data,ISSUE
221,voice quality signal strength drop call,ISSUE
222,play louder speaker of size price be low think quality be lack however be not,NOTISSUE
223,better expect,NOTISSUE
224,feel poorly construct menu be difficult navigate button be recess be difficult push,ISSUE
225,battery be hold well,NOTISSUE
226,also difficult put recommend avoid product,ISSUE
227,use two day be notalways easy hear,ISSUE
228,get car charger not even week charger be break go plug start smoke,ISSUE
229,sprint terrible customer service,ISSUE
230,link phone without effort,NOTISSUE
231,be cool,NOTISSUE
232,easy use,NOTISSUE
233,better new,NOTISSUE
234,posse get junk have no idea,ISSUE
235,piece of trash,ISSUE
236,pretty good product,NOTISSUE
237,be great phone,NOTISSUE
238,price amazon be excellent product highly recommend,NOTISSUE
239,research development division obviously know be do,NOTISSUE
240,real killer be volume of course break,ISSUE
241,phone be work fine now,NOTISSUE
242,happy product one,NOTISSUE
243,poor construction,ISSUE
244,be infuriate,ISSUE
245,overall recommend phone new walkman,NOTISSUE
246,sprint charge service,NOTISSUE
247,be cheap feel look cheap,NOTISSUE
248,fit ear well be comfortable,NOTISSUE
249,do network europe asia,ISSUE
250,clip belt definitely make feel like 50 cent come,NOTISSUE
251,like design look of cabra be ear headset 5020 be pretty comfortable wear 24 hour day without pain ear,NOTISSUE
252,be amaze quick arrival of two original lg cell phone battery fraction of price,NOTISSUE
253,worst phone samsung crap crappy samsung 3715 be worst have ever see,NOTISSUE
254,charger work week completely stop charge phone,ISSUE
255,poor product,ISSUE
256,however some better instruction,ISSUE
257,two hand operate screen software interface be decade old cannon compete new software design,ISSUE
258,work well pair tree 700 w skye headset personal computer use usb bluetooth transceiver,NOTISSUE
259,steer clear of product go genuine palm replacement pen come three pack,NOTISSUE
260,do not buy do not suck,ISSUE
261,be great product sure beat use finger,NOTISSUE
262,plus seriously do not believe be worth steep price point,ISSUE
263,case have try normally fall apart few month one seem be long haul,NOTISSUE
264,disappoint performance,ISSUE
265,do normale same mistake do please do notably phone,ISSUE
266,phone well be worst have ever have brand,ISSUE
267,case be le extra originally put later discard scratch ear,ISSUE
268,recommend go anyone different brand cell phone mp three player family,NOTISSUE
269,do notbother go store,NOTISSUE
270,post detail comment grey black phone have fire red be great color,NOTISSUE
271,do not have problem item order,NOTISSUE
272,get pay guess,ISSUE
273,not do software do great job of also make intone form exist cd without internet connection,NOTISSUE
274,im surprise be good quality car charger be not much review,NOTISSUE
275,be fabulous,NOTISSUE
276,however bt headset be currently not good real time game like first person shooter since audio delay mess,ISSUE
277,price of cable be excellent,NOTISSUE
278,disappoint accessory good manufacturer,ISSUE
279,perform awful muffle tinny incoming sound severe echo end of call,ISSUE
280,wind resistant,NOTISSUE
281,obviously have terrible customer service get pay,NOTISSUE
282,do not last forever,ISSUE
283,not overly expensive replace,NOTISSUE
284,easy operate sound be much better others have try,NOTISSUE
285,contact company tell although unit be still warranty notproduce receipt be of luck,ISSUE
286,link have some way exchange bad phone return unit something,NOTISSUE
287,phone be sturdy nokia bar phone be,NOTISSUE
288,great phone,NOTISSUE
289,place tree case not be not snug be lot of extra room side,ISSUE
290,please,NOTISSUE
291,battery be terrible,ISSUE
292,find product be easy set use,NOTISSUE
293,earpiece be large heavy keep fall of ear,ISSUE
294,utter crap sound quality be terrible,ISSUE
295,charger arrive within promise timeframe do not work,ISSUE
296,no ear loop be tiny sound be great,NOTISSUE
297,finally three four time spring of latch break not use longer visor,ISSUE
298,handsfree part work fine car try download address book tree reboot overall still rate device high,NOTISSUE
299,talk useless customer service,ISSUE
300,felt light tinny,ISSUE
301,do not fit palm tungsten e2 break first time try plug,ISSUE
302,happy purchase good quality low price,NOTISSUE
303,love look feel of samsung flipphones,NOTISSUE
304,well design sharp blue be nice color,NOTISSUE
305,do everything,NOTISSUE
306,not recommend,ISSUE
307,nice sound,NOTISSUE
308,look good picture case be huge disappointment,ISSUE
309,much le jawbone be go replace,ISSUE
310,setup go smoothly,NOTISSUE
311,extremely slow take forever do anything,ISSUE
312,study anyone interest worst sin of industrial design,ISSUE
313,first thing happen be track be,ISSUE
314,be well make easy access phone have handy detachable belt clip,NOTISSUE
315,have continue pair periodically since somehow keep drop,ISSUE
316,ca notupload intone third party,ISSUE
317,bluetooth do not work phone lock screen flash now make call randomly pocket lock,ISSUE
318,truly awful,ISSUE
319,work fine motorola 325 cellphone lot better wear battery do,NOTISSUE
320,volume ringer be real good have choice loud one,NOTISSUE
321,none of tone be acceptable,ISSUE
322,camera color balance be awful,ISSUE
323,product be clearly not ready prime time do netware cool look ca nostell call be come be worthless,ISSUE
324,love intone be upbeat,NOTISSUE
325,chinese forgery abound,ISSUE
326,easy pair samsung cell,NOTISSUE
327,instruction do notexplain microphone jack be use,ISSUE
328,advise not purchase item never work well,ISSUE
329,bad have pay month service,ISSUE
330,work well,NOTISSUE
331,nokia ca 42 usb cable do not work phone,ISSUE
332,clear crisp sound,NOTISSUE
333,have use smallest earpiece provide stay pretty well,NOTISSUE
334,biggest complaint have be battery drain superfast,ISSUE
335,design be ergonomic theory not stand have ear,ISSUE
336,do not buy want use holster,ISSUE
337,phone can also take great picture even video clip,NOTISSUE
338,do normale look cool,ISSUE
339,ear be occupy background be not distract,NOTISSUE
340,comfortable fit headset be comfortable least hour time not entire day,NOTISSUE
341,also phone do notseem accept anything except cbr mp three preferably rip window medium player,ISSUE
342,ca norbert price,NOTISSUE
343,come strong light can use light camera shot even flash signal seriously,NOTISSUE
344,lightweight work well,NOTISSUE
345,beware,ISSUE
346,love cable allow connect mini usb device pc,NOTISSUE
347,anyone near hear part of conversation,ISSUE
348,be cool case be open allow screen get scratch one,NOTISSUE
349,buy phone replacement start have regret since,ISSUE
350,appear actually outperform original battery china come a325,NOTISSUE
351,ca dottore anything phone number sim,ISSUE
352,last le three minute actually try use phone wife have same phone same problem,ISSUE
353,poor quality,ISSUE
354,cabra ear gel r best,NOTISSUE
355,not worth,ISSUE
356,phone crash completely now have get replace,ISSUE
357,quit work have use 18 month purchase another one be best headset have ever,NOTISSUE
358,unfortunately not recharge phone four despite connect multiple power source mac external battery wall outlet etc,ISSUE
359,be great phone,NOTISSUE
360,simply want small flip phone look elsewhere extra bell whistle be mediocre,ISSUE
361,good value work fine power via usb car wall outlet,NOTISSUE
362,phone do notslide around car now grip prevent phone slip of hand,NOTISSUE
363,be simply best bluetooth headset sound quality,NOTISSUE
364,think plan one sure be last moto phone,ISSUE
365,span of hour have two people exclaim whoa be new phone tv,NOTISSUE
366,have always use cord headset freedom wireless be helpful,NOTISSUE
367,case have pas one year mark show sign of wear be 100 functional,NOTISSUE
368,leather be nice soft fit be tight cut face be good shape,NOTISSUE
369,have everything task,NOTISSUE
370,receive use product two day break,ISSUE
371,product be great make work lot easier can go copier wait hold something,NOTISSUE
372,none of three size send headset stay ear,ISSUE
373,mobile have best customer service anywhere,NOTISSUE
374,arrive quickly much le expensive others be sell,NOTISSUE
375,have try two unit fail within two month pro,ISSUE
376,provide good protection look classy,NOTISSUE
377,russel always good,NOTISSUE
378,tracfonewebsite be user friendly make easy activate etc,NOTISSUE
379,design be good 4,NOTISSUE
380,great reception time,NOTISSUE
381,highly recommend product,NOTISSUE
382,house unit sunglass not good texas,ISSUE
383,dit not work of time nokia 5320,ISSUE
384,buy mainly charger break soon purchase,ISSUE
385,like loud buzz override conversation phone be,NOTISSUE
386,fantastic buy get whatever next phone be,NOTISSUE
387,stay away store be careful,ISSUE
388,blunt supertooth hand free phone speaker be awesome,NOTISSUE
389,item arrive quickly work great phone sound ear plug,NOTISSUE
390,be light have plenty of battery capacity be comfortable wear somewhat extend period of time,NOTISSUE
391,disappoint,ISSUE
392,blue ant be easy use,NOTISSUE
393,cheap hey work,NOTISSUE
394,be pleasantly suprised give low cost of item,NOTISSUE
395,camera phone may be use dustpan indoors have rather be use disposable,ISSUE
396,few day later puff of smoke come of phone use,ISSUE
397,be convenient simple use get job do make car ride much smoother,NOTISSUE
398,nano state son be disappoint,ISSUE
399,sound quality be excellent well,ISSUE
400,best headset have use,NOTISSUE
401,not recommend,ISSUE
402,have be around year carry highest quality of anti glare screen protector have find date,NOTISSUE
403,want,NOTISSUE
404,particular model not work motorola q smartphone,ISSUE
405,wont work right least,ISSUE
406,addition feel amp look phone be lightweight cheap plastic,ISSUE
407,now be of warranty same problem reoccure bottom line put money somewhere else singular not support,ISSUE
408,really want plantronics 510 be right one have many issue good,ISSUE
409,crisp clear,NOTISSUE
410,first charge keep go dead 12 minute,ISSUE
411,cheap plastic creak like old wooden floor,ISSUE
412,get absolutely horrible reception apartment phone have not have problem,ISSUE
413,reception have be generally good,NOTISSUE
414,excellent sound battery life inconspicuous boot,NOTISSUE
415,great bluetooth,NOTISSUE
416,highly recommend case,NOTISSUE
417,worthwhile,NOTISSUE
418,phone get be year old be be slowly break despite much care part,ISSUE
419,sorry make purchase,ISSUE
420,buy hop make bluetooth headset fit better thing make impossible wear,ISSUE
421,tree mobile refuse replace force buy another phone without kind of upgrade discount,ISSUE
422,be horrible,ISSUE
423,allow possibility of double book same date time first,ISSUE
424,work two week break,ISSUE
425,do nothing hold securely belt,NOTISSUE
426,be simple use like,NOTISSUE
427,be great tool entertainment communication data management oh be sure use activesync 4 2 optimal data synchronization result,NOTISSUE
428,ca house case smell be disgust,ISSUE
429,not want,ISSUE
430,two of case order another,NOTISSUE
431,buy battery coupon amazon happy purchase,NOTISSUE
432,internet access be fine rare instance work,ISSUE
433,perfect p,NOTISSUE
434,five star plus plus,NOTISSUE
435,good quality bargain buy buy cheap big lot sound awful people end,NOTISSUE
436,50 drain,ISSUE
437,try talk real loud shout telephone get old be still tell be notgreat,ISSUE
438,good work fine,NOTISSUE
439,price be great deal,NOTISSUE
440,great price,NOTISSUE
441,be wind be completely useless,ISSUE
442,yes be shiny front side love,NOTISSUE
443,do not work,ISSUE
444,first think be get good deal 7 44 plug phone v see razor,ISSUE
445,reception headset be excellent,NOTISSUE
446,two thumb seller,NOTISSUE
447,have version lg phone work well together good reception range exceed 20 foot line of sight,NOTISSUE
448,improper description have return,ISSUE
449,1 work 2 be comfortable,NOTISSUE
450,battery charge life be quite long,NOTISSUE
451,cabra largely fit ear well,NOTISSUE
452,battery have no life,NOTISSUE
453,check everywhere be no feature be really disappoint,ISSUE
454,product be exactly describe,NOTISSUE
455,get signal version phone wo not,NOTISSUE
456,do not job,ISSUE
457,recommend,NOTISSUE
458,plan order,NOTISSUE
459,be say phone camera be nice many cool effect play video be decent well,NOTISSUE
460,have be satisfy cell phone day one,NOTISSUE
461,keep get better better be third one have have numerous palm,NOTISSUE
462,awkward use unreliable,ISSUE
463,ship time be also quick,ISSUE
464,not good have hop,ISSUE
465,good case,NOTISSUE
466,do network,ISSUE
467,really good product,NOTISSUE
468,unfortunately do not work,ISSUE
469,three break within two month of use,ISSUE
470,dont buy,ISSUE
471,father have 3265 battery be die,ISSUE
472,however ear pad come easily one week lose one,ISSUE
473,call drop phone come screen go black worst of stop ring intermittently,ISSUE
474,horrible horrible protector,ISSUE
475,do notice nokia either,ISSUE
476,reach bottom row be uncomfortable,ISSUE
477,have buy nokia cell phone few week ago be nightmare,ISSUE
478,take long describe bad customer service experience have be amazon,ISSUE
479,disappoint thing be be no speakerphone,ISSUE
480,terrible car not accept cassette,ISSUE
481,product be useless since do not have enough charge current charge two cellphone,ISSUE
482,be not say be,ISSUE
483,stay away q,ISSUE
484,use dirty,ISSUE
485,unreliable service mobile,ISSUE
486,not good enough price,ISSUE
487,buy two of neither charge,ISSUE
488,look nice,NOTISSUE
489,be excellent tool especially pair phone be auto answer,NOTISSUE
490,have read be review have note problem,NOTISSUE
491,product cover important light sensor ear outlet,ISSUE
492,comfortable hand,NOTISSUE
493,do not work,ISSUE
494,poor reliability,ISSUE
495,work,NOTISSUE
496,take picture battery drop bar start beep let know din,ISSUE
497,terrible product waste of money,ISSUE
498,last time buy,ISSUE
499,be waste of money,ISSUE
500,far have work like charm,NOTISSUE
501,have have few week far good,NOTISSUE
502,case best part be can download picture laptop use ir even send picture laptop phone,NOTISSUE
503,recommend item,NOTISSUE
504,be be choice headset year great sound good volume good noise cancellation,NOTISSUE
505,nice case feel good hand,NOTISSUE
506,item receive be counterfeit,ISSUE
507,really good far probably best bt headset have ever have,NOTISSUE
508,work fine,NOTISSUE
509,receive headset good time be happy,NOTISSUE
510,be please see replace well trail swivel holster blackberry flip,NOTISSUE
511,sister have one also love,NOTISSUE
512,good quality,NOTISSUE
513,be far worst purchase have make amazon,ISSUE
514,excellent dual purpose headset,NOTISSUE
515,excellent,NOTISSUE
516,do not work listen music singular 8125,ISSUE
517,seem completely secure hold belt keep phone inside,NOTISSUE
518,bottom line another worthless cheap gimmick sprint,ISSUE
519,have trouble volume,ISSUE
520,good thing be fit comfortably small ear,NOTISSUE
521,warn do not buy,ISSUE
522,pair phone not be happier far,NOTISSUE
523,open battery connection be break device be turn,ISSUE
524,do notwant clip go top of ear cause discomfort,ISSUE
525,best headset ever,NOTISSUE
526,do nottrust webster do notexpect helpful support,ISSUE
527,be loud glad say plantronics 510 maintain flawless connection cell no static normal use,NOTISSUE
528,speaker be of low quality make ring tone sound cheap,ISSUE
529,fit comfortably come three size of earn tip,NOTISSUE
530,bad reception,ISSUE
531,product be high quality chinese crap,ISSUE
532,be quite comfortable ear,NOTISSUE
533,do notably product fail,ISSUE
534,everything product be wrong first,ISSUE
535,pair of two device be easy barely take couple minute start make call voice deal feature,NOTISSUE
536,be utterly confuse first cause lose couple of important contact,ISSUE
537,terrible phone holder,ISSUE
538,cutout button be place perfectly,NOTISSUE
539,love be able use one headset land line cell,NOTISSUE
540,problem be ear loop be make of weak material break easily,ISSUE
541,not nearly good look amazon picture make look,ISSUE
542,despite few flaw case be of exceptional quality well worth additional cost of official oem product,NOTISSUE
543,stupid be,ISSUE
544,can hear drive car usually do steven have put be loudest set,NOTISSUE
545,seller ship quickly much cheaper competitor,NOTISSUE
546,good show samsung,NOTISSUE
547,buy ten of save lot of money,NOTISSUE
548,always cut make beep beep beep sound say signal fail,ISSUE
549,configure,ISSUE
550,phone sound ok not great ok wife be phone be almost totally unintelligible notunderstand word be say,ISSUE
551,have take battery of phone put back together restart,ISSUE
552,manage bend leaf spring back place metal now have enough stress break next drop,ISSUE
553,leopard print be wonderfully wild,NOTISSUE
554,work,NOTISSUE
555,saggy floppy piece of junk,ISSUE
556,much better hard plastic case,NOTISSUE
557,also have new problem,ISSUE
558,happy far,NOTISSUE
559,cool phone,NOTISSUE
560,work good,NOTISSUE
561,motorola finally get voice quality of bluetooth headset right,NOTISSUE
562,loose connection phone even be within couple foot two,ISSUE
563,be great really recommend,NOTISSUE
564,make easier keep bluetooth not wear,ISSUE
565,say pretty useless,ISSUE
566,never get,ISSUE
567,pair of headphone be worst have ever have sound wise,ISSUE
568,drain of weak snap,ISSUE
569,do not charge singular att 8525 phone,ISSUE
570,get extra minute can carry call not get cut,NOTISSUE
571,however year lipton start get loose wobbly eventually screen go black notreceive place call,ISSUE
572,keep catch cable seat have pull phone turn,ISSUE
573,headset fulfil requirement happy purchase,NOTISSUE
574,logitech bluetooth headset be 10,NOTISSUE
575,like fact rest lightly ear rather inside,NOTISSUE
576,lot of webster have be rat good phone do,NOTISSUE
577,have try cable computer pod work fine,NOTISSUE
578,mic be joke volume be quite low,ISSUE
579,return,ISSUE
580,do not maintain connection computer be lap,ISSUE
581,be easy turn be car volume control be quite accessible,NOTISSUE
582,have have mine year christmas buy some rest of family,NOTISSUE
583,otherwise easy install use clear sound,NOTISSUE
584,nice leather,NOTISSUE
585,have purchase different case,ISSUE
586,be joy use,NOTISSUE
587,much disappoint company,ISSUE
588,satisfy,NOTISSUE
589,do notcharge,ISSUE
590,be phone get 2005 buy s740 can say be wow,NOTISSUE
591,button be small,ISSUE
592,read spec alone make say wow,NOTISSUE
593,love great armband,NOTISSUE
594,really like product motorola be allot clearer ear piece mic,NOTISSUE
595,however keypad be tinny sometimes reach wrong button,ISSUE
596,exchange sony ericson z 500 pretty happy decision,NOTISSUE
597,be impress price of case,NOTISSUE
598,also make easier hold,NOTISSUE
599,use product motor control center be lot of high voltage hum equipment work great,NOTISSUE
600,be pretty easy,NOTISSUE
601,cannon make call certain place,ISSUE
602,however girl be complain some time phone do netware like normal phone do,ISSUE
603,beautiful style though,NOTISSUE
604,company charge restock fee still not give refund back,ISSUE
605,try return refund,ISSUE
606,plug find not darn thing work,ISSUE
607,excellent product,NOTISSUE
608,earn piece break easily,ISSUE
609,lousy product,ISSUE
610,phone try hard do everything fail be ability be phone,ISSUE
611,be best charger have see market yet,NOTISSUE
612,sweetest phone,NOTISSUE
613,oh charger seem work fine,NOTISSUE
614,fit securely ear hook do not even be use sound be better direct ear canal,NOTISSUE
615,not enough volume,ISSUE
616,echo problem unsatisfactory,ISSUE
617,take two video time quality be poor,ISSUE
618,do notwaste money,ISSUE
619,go have be first negatively review product,ISSUE
620,adapter do not provide enough charge current,ISSUE
621,be much hype phone assume be best mistake,ISSUE
622,also cannon take picture case sense be cover,ISSUE
623,phone fall easily,ISSUE
624,do network people can not hear talk,ISSUE
625,text message feature be really tricky use,ISSUE
626,really disappoint have now be charger do network,ISSUE
627,painful ear,ISSUE
628,last one day blow,ISSUE
629,disappoint,ISSUE
630,kind of flop around,ISSUE
631,screen do get smudge easily touch ear face,ISSUE
632,piece of junk lose call phone,ISSUE
633,item do not match picture,ISSUE
634,thing disappoint be infra red port ira,ISSUE
635,can not answer call unit never work,ISSUE
636,unsatisfactory,ISSUE
637,product be great,NOTISSUE
638,have,NOTISSUE
639,have be work good every since no problem,NOTISSUE
640,oh be dangerous,ISSUE
641,sorry,NOTISSUE
642,almost sorry,NOTISSUE
643,pardon,NOTISSUE
644,help help,ISSUE
645,no no be dangerous,ISSUE
646,be extremely dangerous,ISSUE
647,be really dangerous,ISSUE
648,be dangerous young man,ISSUE
649,be dangerous brutal,ISSUE
650,honestly really be dangerous,ISSUE
651,can work,ISSUE
652,be dead hard work,ISSUE
653,fact whole family be together mary be wed,NOTISSUE
654,have be busy,NOTISSUE
655,go back,NOTISSUE
656,busy,ISSUE
657,think be yesterday,ISSUE
658,do think get one,NOTISSUE
659,oh yes,NOTISSUE
660,be one of thing want talk,NOTISSUE
661,well honestly do notknow have noreen discussion,NOTISSUE
662,of course be come tomorrow,NOTISSUE
663,have noreen think be away weekend,ISSUE
664,hello,NOTISSUE
665,mean be young man,NOTISSUE
666,goodbye,NOTISSUE
667,be alright,NOTISSUE
668,do money urgently,NOTISSUE
669,be business,NOTISSUE
670,be work day,NOTISSUE
671,be work,NOTISSUE
672,do work,NOTISSUE
673,be be work day,NOTISSUE
674,be work saturday,NOTISSUE
675,know work,NOTISSUE
